dt,close,signal
2025-08-06 14:15:00+00:00,114257.92,-1
2025-08-06 14:20:00+00:00,113955.26,0
2025-08-06 14:25:00+00:00,114094.24,0
2025-08-06 14:30:00+00:00,114226.66,0
2025-08-06 14:35:00+00:00,114226.54,0
2025-08-06 14:40:00+00:00,114300.83,0
2025-08-06 14:45:00+00:00,114286.01,0
2025-08-06 14:50:00+00:00,114432.03,0
2025-08-06 14:55:00+00:00,115186.8,-1
2025-08-06 15:00:00+00:00,114986.77,0
2025-08-06 15:05:00+00:00,114954.34,0
2025-08-06 15:10:00+00:00,115029.1,0
2025-08-06 15:15:00+00:00,115051.47,0
2025-08-06 15:20:00+00:00,114918.41,0
2025-08-06 15:25:00+00:00,114946.76,0
2025-08-06 15:30:00+00:00,115269.92,-1
2025-08-06 15:35:00+00:00,115246.94,-1
2025-08-06 15:40:00+00:00,115204.27,-1
2025-08-06 15:45:00+00:00,115139.51,-1
2025-08-06 15:50:00+00:00,115325.06,-1
2025-08-06 15:55:00+00:00,115412.99,-1
2025-08-06 16:00:00+00:00,115425.67,-1
2025-08-06 16:05:00+00:00,115374.37,0
2025-08-06 16:10:00+00:00,115204.37,0
2025-08-06 16:15:00+00:00,115199.5,0
2025-08-06 16:20:00+00:00,115115.3,0
2025-08-06 16:25:00+00:00,115128.22,0
2025-08-06 16:30:00+00:00,115180.33,0
2025-08-06 16:35:00+00:00,115100.9,0
2025-08-06 16:40:00+00:00,114953.97,0
2025-08-06 16:45:00+00:00,115082.57,0
2025-08-06 16:50:00+00:00,115133.53,0
2025-08-06 16:55:00+00:00,115131.36,0
2025-08-06 17:00:00+00:00,115129.87,0
2025-08-06 17:05:00+00:00,115104.84,0
2025-08-06 17:10:00+00:00,115152.09,0
2025-08-06 17:15:00+00:00,115208.76,0
2025-08-06 17:20:00+00:00,115237.36,0
2025-08-06 17:25:00+00:00,115358.85,0
2025-08-06 17:30:00+00:00,115296.65,0
2025-08-06 17:35:00+00:00,115369.39,0
2025-08-06 17:40:00+00:00,115459.55,0
2025-08-06 17:45:00+00:00,115456.99,-1
2025-08-06 17:50:00+00:00,115432.25,-1
2025-08-06 17:55:00+00:00,115498.85,-1
2025-08-06 18:00:00+00:00,115660.05,-1
2025-08-06 18:05:00+00:00,115639.97,-1
2025-08-06 18:10:00+00:00,115691.96,-1
2025-08-06 18:15:00+00:00,115645.12,-1
2025-08-06 18:20:00+00:00,115473.62,0
2025-08-06 18:25:00+00:00,115426.1,0
2025-08-06 18:30:00+00:00,115535.13,0
2025-08-06 18:35:00+00:00,115426.94,0
2025-08-06 18:40:00+00:00,115326.94,0
2025-08-06 18:45:00+00:00,115333.54,0
2025-08-06 18:50:00+00:00,115358.91,0
2025-08-06 18:55:00+00:00,115422.37,0
2025-08-06 19:00:00+00:00,115506.83,0
2025-08-06 19:05:00+00:00,115393.34,0
2025-08-06 19:10:00+00:00,115407.72,0
2025-08-06 19:15:00+00:00,115449.83,0
2025-08-06 19:20:00+00:00,115478.85,0
2025-08-06 19:25:00+00:00,115405.08,0
2025-08-06 19:30:00+00:00,115285.76,0
2025-08-06 19:35:00+00:00,115309.1,0
2025-08-06 19:40:00+00:00,115271.49,0
2025-08-06 19:45:00+00:00,115213.66,0
2025-08-06 19:50:00+00:00,115164.78,0
2025-08-06 19:55:00+00:00,115258.89,0
2025-08-06 20:00:00+00:00,115180.52,0
2025-08-06 20:05:00+00:00,115235.36,0
2025-08-06 20:10:00+00:00,115218.16,0
2025-08-06 20:15:00+00:00,115229.93,0
2025-08-06 20:20:00+00:00,115218.12,0
2025-08-06 20:25:00+00:00,115187.4,0
2025-08-06 20:30:00+00:00,115075.18,1
2025-08-06 20:35:00+00:00,115000.0,1
2025-08-06 20:40:00+00:00,115056.53,0
2025-08-06 20:45:00+00:00,115058.56,0
2025-08-06 20:50:00+00:00,115101.15,0
2025-08-06 20:55:00+00:00,115046.78,0
2025-08-06 21:00:00+00:00,115099.84,0
2025-08-06 21:05:00+00:00,115149.23,0
2025-08-06 21:10:00+00:00,115220.81,0
2025-08-06 21:15:00+00:00,115203.68,0
